doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
255,8310,0,6,-1.1227665402850366,67
256,8324,0,4,-2.7244466483961203,36
257,8327,0,6,-1.2201141387104304,31
258,8344,0,5,-1.3630728893041457,92
259,8369,0,6,-1.2846388163163196,32
260,8373,0,4,-2.4935024457635295,43
261,8401,0,5,-1.3133249805052136,40
262,8461,0,3,-3.510379103154243,26
263,8464,0,4,-1.9804136107722297,43
264,8516,0,5,-1.8875149083207488,82
265,9245,0,6,-1.5699529469375113,22
266,9272,0,7,-1.1085666687017195,29
267,9282,0,4,-2.1696583723078424,15
268,9295,0,7,-1.2577195098930787,41
269,9297,0,6,-2.138280008349355,66
270,9420,0,6,-1.0996665314683831,32
271,9528,0,6,-1.6279510464154567,18
272,9529,0,6,-1.6916448241183168,15
273,9534,0,6,-1.2264526848170094,20
274,9548,0,6,-1.0601531752399698,19
275,9606,0,6,-1.6231819400365115,72
276,9610,0,6,-0.8352952391771655,51
277,2185,0,4,-3.2323330732885402,26
278,2187,0,7,-0.8729295586142278,23
279,2188,0,6,-1.2919784854271432,33
280,2376,0,6,-0.9283147670422878,38
281,2380,0,6,-1.2435382338194074,11
282,2381,0,6,-1.15013587363857,20
283,2387,0,5,-1.426749457155954,32
284,2389,0,6,-1.061563549634811,14
285,2396,0,6,-0.9302946603337299,21
286,2400,0,5,-2.299132580548079,24
287,2403,0,4,-3.8103671964566077,8
288,2411,0,5,-1.8604098443995838,17
289,2420,0,5,-1.4844907347868572,27
290,2423,0,3,-3.7241771062769207,50
291,2427,0,6,-1.1563805407491694,22
292,2431,0,5,-1.6304872460680393,27
293,2432,0,6,-1.016957257650196,22
294,2437,0,6,-0.8919162093340454,14
295,2441,0,6,-1.1123783543749743,12
296,2448,0,6,-0.8870493235210226,25
297,2449,0,6,-0.8454667592768557,28
298,2450,0,6,-0.9245870509754734,25
299,2451,0,6,-1.2549321480818154,19
300,2462,0,5,-1.6793221516142953,31
301,2471,0,6,-0.9166667938969857,32
302,2484,0,7,-0.8487592465546792,27
303,2489,0,6,-0.947050661438114,30
304,2490,0,6,-0.8454716116420951,29
305,2494,0,6,-1.3747804342015586,27
306,2496,0,6,-1.0633254939588852,34
307,2502,0,4,-3.1548430848920557,26
308,2505,0,4,-2.896967632572994,32
