phrase_idx,phrase,n_docs,total_count
552,we_derive,89,92
553,consumption_and,79,91
554,determinants_of,83,91
555,in_such,91,91
556,instrumental_variables,68,91
557,of_both,85,91
558,paper_provides,91,91
559,prices_are,85,91
560,the_process,76,91
561,the_social,74,91
562,to_analyze,89,91
563,for_which,86,90
564,growth_in,77,90
565,if_it,79,90
566,in_many,88,90
567,international_trade,74,90
568,it_has,89,90
569,of_substitution,69,90
570,prices_of,78,90
571,quality_of,79,90
572,assumed_to,77,89
573,conditions_are,78,89
574,in_each,83,89
575,restrictions_on,83,89
576,aspects_of,85,88
577,derived_from,83,88
578,evidence_on,84,88
579,labor_force,58,88
580,the_concept,73,88
581,the_individual,75,88
582,the_stock,69,88
583,to_this,85,88
584,as_to,81,87
585,characterization_of,82,87
586,investigates_the,87,87
587,social_welfare,63,87
588,source_of,85,87
589,tax_rates,62,87
590,the_capital,66,87
591,the_tax,63,87
592,to_make,81,87
593,argued_that,85,86
594,cross_sectional,75,86
595,data_set,83,86
596,determined_by,79,86
597,explained_by,84,86
598,have_the,83,86
599,information_on,82,86
600,marginal_cost,67,86
601,of_growth,66,86
602,paper_uses,85,86
603,results_in,83,86
604,the_principal,59,86
605,to_determine,84,86
606,appear_to,82,85
607,are_given,80,85
608,be_the,81,85
609,behavior_in,79,85
610,models_are,80,85
611,output_and,74,85
612,per_capita,63,85
613,the_estimation,81,85
614,the_usual,76,85
615,to_changes,79,85
616,growth_and,77,84
617,of_changes,76,84
618,on_average,80,84
619,reduction_in,78,84
620,the_theoretical,77,84
621,then_the,79,84
622,an_empirical,83,83
623,costs_and,76,83
624,demand_functions,65,83
625,demonstrate_that,78,83
626,the_null,63,83
627,the_underlying,73,83
628,the_variance,64,83
629,there_exists,77,83
630,to_percent,72,83
631,use_the,83,83
632,when_there,75,83
633,correlated_with,76,82
634,each_of,79,82
635,effects_are,78,82
636,given_the,76,82
637,increase_the,80,82
638,method_for,76,82
639,of_optimal,71,82
640,of_risk,68,82
641,predictions_of,75,82
642,the_public,66,82
643,to_examine,81,82
644,upon_the,75,82
645,wages_and,74,82
646,consequences_of,79,81
647,fraction_of,72,81
648,however_the,80,81
649,in_response,75,81
650,incentive_to,71,81
651,of_each,76,81
652,sample_of,78,81
653,similar_to,77,81
654,analyzes_the,79,80
655,are_examined,78,80
656,characterize_the,80,80
657,consider_the,76,80
658,data_and,78,80
659,of_which,77,80
660,preferences_and,74,80
661,production_and,73,80
662,the_future,71,80
663,in_that,74,79
664,is_estimated,77,79
665,is_then,78,79
666,markets_and,73,79
667,of_output,71,79
668,of_prices,67,79
669,possible_to,74,79
670,studies_the,79,79
671,support_for,77,79
672,than_those,76,79
673,the_sense,79,79
674,the_wage,66,79
675,time_and,75,79
676,to_those,75,79
677,adverse_selection,52,78
678,an_optimal,68,78
679,estimator_is,66,78
680,if_there,69,78
681,possibility_of,75,78
682,sequence_of,67,78
683,such_that,72,78
684,tests_of,67,78
685,the_decision,61,78
686,the_population,63,78
687,the_solution,65,78
688,to_identify,77,78
689,access_to,71,77
690,affected_by,75,77
691,and_labor,73,77
692,as_result,75,77
693,attempt_to,73,77
694,information_and,73,77
695,is_applied,76,77
696,may_have,74,77
697,model_are,75,77
698,of_government,67,77
699,of_one,76,77
700,the_corresponding,74,77
701,the_efficiency,73,77
702,the_structure,74,77
703,trade_off,65,77
704,assumption_of,67,76
705,characteristics_of,70,76
706,compared_with,75,76
707,firms_in,71,76
708,in_two,75,76
709,income_tax,53,76
710,pattern_of,69,76
711,percentage_points,63,76
712,performance_of,70,76
713,preferences_are,66,76
714,rate_and,70,76
715,test_the,76,76
716,the_evidence,76,76
717,the_likelihood,68,76
718,the_past,72,76
719,the_total,69,76
720,through_the,69,76
721,we_have,57,76
722,ability_to,70,75
723,estimating_the,67,75
724,even_though,74,75
725,in_equilibrium,65,75
726,market_for,66,75
727,model_we,74,75
728,more_general,74,75
729,of_different,66,75
730,of_some,75,75
731,process_of,67,75
732,supply_of,65,75
733,the_basic,69,75
734,the_question,70,75
735,the_sample,69,75
736,theory_is,70,75
737,allow_for,70,74
738,and_income,66,74
739,appears_to,71,74
740,are_found,66,74
741,concerning_the,71,74
742,efficiency_of,65,74
743,it_can,72,74
744,of_other,74,74
745,of_preferences,66,74
746,on_an,73,74
747,tends_to,65,74
748,the_conditions,71,74
749,the_consumption,59,74
750,the_costs,69,74
751,the_maximum,66,74
752,and_only,66,73
753,by_percent,60,73
754,combination_of,71,73
755,equal_to,69,73
756,equilibria_in,62,73
757,fluctuations_in,65,73
758,independent_of,71,73
759,into_account,67,73
760,is_in,70,73
761,of_aggregate,65,73
762,our_analysis,70,73
763,results_for,67,73
764,simple_model,70,73
765,sources_of,68,73
766,test_of,70,73
767,the_federal,55,73
768,the_game,62,73
769,the_quality,67,73
770,to_obtain,72,73
771,to_one,65,73
772,to_use,69,73
773,are_considered,69,72
774,close_to,66,72
775,data_are,68,72
776,distributions_of,62,72
777,extent_to,68,72
778,implied_by,67,72
779,interpretation_of,68,72
780,introduction_of,65,72
781,led_to,66,72
782,magnitude_of,68,72
783,models_in,70,72
784,of_us,70,72
785,result_in,70,72
786,robust_to,71,72
787,test_for,68,72
788,tests_for,59,72
789,that_under,69,72
790,the_large,65,72
791,the_one,71,72
792,to_increase,70,72
793,when_they,65,72
794,all_the,68,71
795,and_thus,68,71
796,as_in,68,71
797,because_the,67,71
798,conclude_that,70,71
799,firms_and,71,71
800,found_that,70,71
801,in_other,71,71
802,of_dynamic,69,71
803,of_real,59,71
804,only_the,69,71
805,rise_in,60,71
806,series_of,70,71
807,than_in,69,71
808,that_have,67,71
809,the_class,64,71
810,the_estimates,65,71
811,the_introduction,63,71
812,the_magnitude,67,71
813,the_traditional,59,71
814,these_two,68,71
815,accounts_for,68,70
816,attempts_to,66,70
817,contrast_to,69,70
818,economic_theory,63,70
819,extent_of,67,70
820,literature_on,66,70
821,of_inflation,54,70
822,the_monetary,51,70
823,the_money,49,70
824,the_supply,60,70
825,up_to,63,70
826,variance_of,59,70
827,we_characterize,68,70
828,would_have,63,70
829,correlation_between,61,69
830,data_we,69,69
831,despite_the,68,69
832,employment_and,58,69
833,if_and,61,69
834,in_one,66,69
835,of_future,60,69
836,size_and,61,69
837,the_best,64,69
838,the_elasticity,61,69
839,the_last,66,69
840,the_properties,69,69
841,theories_of,63,69
842,are_less,64,68
843,competitive_equilibrium,61,68
844,finite_sample,56,68
845,function_and,65,68
846,functions_of,65,68
847,information_is,62,68
848,labor_and,62,68
849,measure_the,66,68
850,model_where,64,68
851,money_supply,42,68
852,need_not,66,68
853,not_necessarily,65,68
854,of_consumer,60,68
855,of_large,64,68
856,sensitive_to,62,68
857,state_of,63,68
858,supply_and,62,68
859,the_amount,62,68
860,the_initial,58,68
861,the_potential,61,68
862,which_we,68,68
863,also_show,67,67
864,extended_to,65,67
865,for_any,63,67
866,for_some,66,67
867,incentives_to,58,67
868,increases_the,66,67
869,is_given,65,67
870,price_level,55,67
871,sets_of,59,67
872,theory_and,67,67
873,against_the,65,66
874,and_time,59,66
875,are_in,65,66
876,are_obtained,64,66
877,asset_pricing,57,66
878,contrary_to,66,66
879,is_assumed,57,66
880,it_also,65,66
881,measured_by,60,66
882,prices_in,63,66
883,problem_is,61,66
884,reduce_the,64,66
885,the_conditional,50,66
886,the_difference,65,66
887,the_firm's,49,66
888,the_recent,64,66
889,we_prove,61,66
890,allows_for,65,65
891,benefits_of,62,65
892,by_means,64,65
893,compared_to,60,65
894,costs_are,59,65
895,empirical_results,64,65
896,estimates_are,65,65
897,estimators_are,44,65
898,exchange_rates,43,65
899,explanation_for,64,65
900,for_both,63,65
901,for_money,44,65
902,gains_from,60,65
903,in_fact,65,65
904,including_the,65,65
905,is_derived,62,65
906,of_any,65,65
907,of_his,58,65
908,of_international,58,65
909,rates_are,63,65
910,the_income,60,65
911,their_own,62,65
912,comparative_statics,57,64
913,condition_for,61,64
