phrase_idx,phrase,n_docs,total_count,zeta,direction
5733,of_leisure,11,15,-4.95078388213178,low_read
6582,commodity_space,11,13,-4.95078388213111,low_read
6665,finitely_many,12,13,-4.95078388213105,low_read
7036,the_sequence,10,13,-4.95078388213104,low_read
8055,equilibria_we,10,11,-4.95078386473977,low_read
5090,transferable_utility,15,17,-4.95078386473975,low_read
5196,criterion_function,10,16,-4.95078386473975,low_read
8881,consumption_or,9,10,-4.95078386473969,low_read
8321,of_vector,8,11,-4.95078386473967,low_read
9636,wald_statistic,10,10,-4.95078386473966,low_read
5505,allocations_that,13,15,-4.95078386473964,low_read
8949,equation_is,9,10,-4.95078386473962,low_read
9267,of_repeated,10,10,-4.95078386473954,low_read
9184,market_portfolio,8,10,-4.95074455979245,low_read
6620,derivatives_of,9,13,-4.95074455979145,low_read
8065,estimator_are,11,11,-4.95073085359638,low_read
9580,to_formulate,10,10,-4.95073085359604,low_read
6963,squares_regression,12,13,-4.95071426458428,low_read
8191,introduced_and,11,11,-4.95071426458349,low_read
8278,of_allocations,11,11,-4.9507142645833,low_read
6902,prior_distribution,6,13,-4.95070057528825,low_read
6923,regressors_and,10,13,-4.950700575288,low_read
8266,nonlinear_regression,9,11,-4.95070057528753,low_read
8554,the_multivariate,10,11,-4.9507005752874,low_read
9274,of_strategy,9,10,-4.95070057528737,low_read
4605,probability_measure,14,18,-4.95070057527225,low_read
8013,covariance_matrices,11,11,-4.95070057527224,low_read
7752,these_axioms,10,12,-4.95070057527223,low_read
8324,on_factor,11,11,-4.95070057527222,low_read
8556,the_ols,11,11,-4.95070057527221,low_read
9385,regressions_with,7,10,-4.95070057527218,low_read
4670,the_matrix,12,18,-4.95070057527218,low_read
8964,estimator_when,10,10,-4.95070057527216,low_read
6326,solution_concept,11,14,-4.95070057527216,low_read
9499,the_binary,8,10,-4.95070057527211,low_read
5995,are_established,13,14,-4.95070057527211,low_read
9474,testable_restrictions,9,10,-4.95070057527208,low_read
6608,criterion_is,12,13,-4.95070057527171,low_read
8974,exogenous_and,10,10,-4.95065514905546,low_read
7682,taking_the,11,12,-4.95065514905541,low_read
7814,under_very,12,12,-4.95065514905539,low_read
7822,vector_autoregressive,11,12,-4.95065514905515,low_read
8056,equilibrium_path,10,11,-4.95065514905505,low_read
8662,well_behaved,11,11,-4.95063263484597,low_read
8523,the_cointegrating,6,11,-4.95063263484591,low_read
8553,the_monte,8,11,-4.95063263484591,low_read
7738,the_unobserved,10,12,-4.95063263484581,low_read
7228,boundary_of,9,12,-4.95063263484581,low_read
7680,symmetric_and,11,12,-4.95063263484579,low_read
5284,irrelevant_alternatives,11,16,-4.95063263484564,low_read
6720,in_variables,12,13,-4.95063263484486,low_read
6947,shadow_prices,11,13,-4.95056578289911,low_read
8031,derived_under,10,11,-4.95024583872566,low_read
9119,information_matrix,9,10,-4.95024583872565,low_read
9498,the_approximate,9,10,-4.95024583872564,low_read
7245,chi_square,9,12,-4.95024583872557,low_read
9169,local_to,9,10,-4.95024583872557,low_read
8063,estimation_are,11,11,-4.95024583872552,low_read
6711,in_expectations,10,13,-4.95024583872474,low_read
6667,folk_theorem,13,13,-4.94974277473597,low_read
6742,is_generalized,13,13,-4.9497427747359,low_read
9590,to_models,10,10,-4.94974277473518,low_read
8161,ill_posed,9,11,-4.94974277473513,low_read
9410,run_average,8,10,-4.94963732481437,low_read
7384,if_agents,11,12,-4.94938387995804,low_read
7329,exact_finite,12,12,-4.94938387995793,low_read
7767,those_which,12,12,-4.94938387995784,low_read
8840,capital_formation,9,10,-4.94938387995774,low_read
8236,marginal_rates,10,11,-4.94938387995774,low_read
5649,identified_set,9,15,-4.94890381967767,low_read
8267,nonparametric_identification,9,11,-4.94890381967714,low_read
6330,stationary_equilibrium,11,14,-4.94890381967706,low_read
3488,the_bootstrap,9,23,-4.94890349486467,low_read
9243,of_incentive,10,10,-4.94890349486452,low_read
7712,the_edgeworth,9,12,-4.94890349486447,low_read
8899,covariance_of,8,10,-4.9489034948644,low_read
9103,income_effect,7,10,-4.9489034948644,low_read
9544,their_asymptotic,10,10,-4.94890349486436,low_read
9355,probability_to,9,10,-4.94877357742454,low_read
7533,of_pareto,12,12,-4.94877357737506,low_read
9565,time_dimension,7,10,-4.94877357737486,low_read
6382,the_leontief,10,14,-4.94864924003451,low_read
7858,additively_separable,10,11,-4.94864924003441,low_read
7986,choice_probabilities,9,11,-4.94864923996405,low_read
6243,of_irrelevant,11,14,-4.94864923996362,low_read
8699,aggregate_income,9,10,-4.94842363249558,low_read
7683,technique_is,11,12,-4.94842363249552,low_read
5669,inference_about,9,15,-4.9484236324955,low_read
8522,the_cobb,9,11,-4.9484236324955,low_read
8959,errors_of,10,10,-4.9484236324955,low_read
8468,squares_is,9,11,-4.94842363249549,low_read
9641,welfare_functions,9,10,-4.94842363249546,low_read
9033,games_the,10,10,-4.94842363249546,low_read
8361,point_identification,8,11,-4.94842363249544,low_read
8057,equilibrium_which,10,11,-4.94842363249543,low_read
8975,expectations_models,10,10,-4.94842363249542,low_read
9475,tests_is,9,10,-4.94842363249541,low_read
8449,seasonally_adjusted,5,11,-4.94842363249541,low_read
4678,the_statistic,7,18,-4.94842363249536,low_read
8463,solution_concepts,10,11,-4.94838337148735,low_read
8633,types_are,8,11,-4.94838337148727,low_read
7909,and_value,9,11,-4.94827030831514,low_read
7868,alternatives_the,10,11,-4.94827030831513,low_read
5618,finite_horizon,11,15,-4.9482703083151,low_read
9446,specification_tests,8,10,-4.94827030831496,low_read
9036,generalizations_of,9,10,-4.94809786455061,low_read
8352,pareto_optima,10,11,-4.94809786455056,low_read
7192,arbitrary_number,10,12,-4.9480978645505,low_read
7191,approximation_is,10,12,-4.94809786455049,low_read
7489,monotonicity_and,9,12,-4.94809786455044,low_read
8588,these_equilibria,11,11,-4.94809786455042,low_read
7349,for_dynamic,12,12,-4.94809786455042,low_read
9369,proof_is,10,10,-4.9480978645504,low_read
8940,efficient_in,10,10,-4.94809786455031,low_read
9462,surplus_is,7,10,-4.94809786455028,low_read
9271,of_semiparametric,8,10,-4.94809786455027,low_read
9170,logarithm_of,8,10,-4.94809786455023,low_read
8520,the_censored,7,11,-4.94808887536291,low_read
8054,equations_model,10,11,-4.94808887536285,low_read
5297,joint_production,9,16,-4.94808887536277,low_read
7274,decision_maker's,9,12,-4.94790372303295,low_read
8557,the_open,9,11,-4.94788953180953,low_read
8059,error_learning,5,11,-4.94788953180947,low_read
7991,coefficient_vector,7,11,-4.94788953180943,low_read
6625,differential_equation,9,13,-4.94787563597328,low_read
8048,element_in,9,11,-4.94787563597279,low_read
9287,one_may,10,10,-4.94787563597276,low_read
9408,root_consistent,8,10,-4.94787563597273,low_read
7871,an_asymptotically,11,11,-4.94787563597273,low_read
8380,price_vector,7,11,-4.94787563597259,low_read
6794,non_nested,9,13,-4.94787563597201,low_read
9091,in_nonlinear,10,10,-4.94761981878919,low_read
9324,point_is,9,10,-4.94761981878913,low_read
8473,stationary_equilibria,8,11,-4.94761981878907,low_read
5396,sequential_equilibria,10,16,-4.94761981878901,low_read
8427,relations_are,10,11,-4.94761981878886,low_read
8061,estimates_is,9,11,-4.94759426152213,low_read
